Format Version,1.1,Take Name,Take 2021-09-15 03.19.26 PM,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-09-15 03.19.26.638 PM,Total Frames,4065,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_2,Marker_2,Marker_2,Marker_1,Marker_1,Marker_1,Marker_3,Marker_3,Marker_3
,,"8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702811","8392B20CF49E35702811","8392B20CF49E35702811"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
140,1.400000,-0.352531,1.025338,1.082532,-0.351060,1.164798,1.053550,-0.325999,0.882772,1.067437
141,1.410000,-0.352618,1.025354,1.082501,-0.351002,1.164801,1.053505,-0.325989,0.882766,1.067376
142,1.420000,-0.352384,1.025435,1.082352,-0.350883,1.164871,1.053339,-0.325867,0.882868,1.067240
143,1.430000,-0.352312,1.025449,1.082316,-0.350852,1.164896,1.053306,-0.325796,0.882851,1.067189
144,1.440000,-0.352361,1.025444,1.082340,-0.350847,1.164898,1.053334,-0.325767,0.882795,1.067191
145,1.450000,-0.352367,1.025487,1.082313,-0.350780,1.164922,1.053292,-0.325727,0.882821,1.067161
146,1.460000,-0.352389,1.025565,1.082343,-0.350751,1.164955,1.053249,-0.325881,0.882968,1.067239
147,1.470000,-0.352372,1.025604,1.082340,-0.350705,1.164960,1.053208,-0.325204,0.882719,1.066998
148,1.480000,-0.352362,1.025635,1.082334,-0.350720,1.164987,1.053179,-0.325714,0.882967,1.067161
149,1.490000,-0.352336,1.025638,1.082292,-0.350661,1.165010,1.053135,-0.325783,0.883008,1.067194
150,1.500000,-0.352362,1.025660,1.082295,-0.350651,1.165015,1.053105,-0.325730,0.883009,1.067172
151,1.510000,-0.352376,1.025646,1.082254,-0.350667,1.165005,1.053058,-0.325700,0.882985,1.067128
152,1.520000,-0.352452,1.025668,1.082254,-0.350665,1.165006,1.053021,-0.325619,0.882961,1.067048
153,1.530000,-0.352362,1.025580,1.082158,-0.350726,1.165011,1.052988,-0.325683,0.882951,1.067034
154,1.540000,-0.352688,1.025707,1.082214,-0.350744,1.165019,1.052956,-0.325293,0.882783,1.066854
155,1.550000,-0.352452,1.025586,1.082086,-0.350815,1.164999,1.052893,-0.325735,0.882955,1.066963
156,1.560000,-0.352728,1.025672,1.082118,-0.350822,1.164975,1.052851,-0.325744,0.882924,1.066897
157,1.570000,-0.352813,1.025659,1.082093,-0.350896,1.164955,1.052827,-0.325819,0.882925,1.066880
158,1.580000,-0.352851,1.025640,1.082036,-0.350932,1.164949,1.052778,-0.325846,0.882882,1.066801
159,1.590000,-0.352899,1.025610,1.081989,-0.350993,1.164926,1.052739,-0.325882,0.882873,1.066713
160,1.600000,-0.352939,1.025591,1.081926,-0.351078,1.164896,1.052688,-0.325970,0.882851,1.066668
161,1.610000,-0.353001,1.025555,1.081871,-0.351119,1.164877,1.052665,-0.325918,0.882810,1.066536
162,1.620000,-0.353038,1.025533,1.081785,-0.351157,1.164862,1.052603,-0.325985,0.882825,1.066469
163,1.630000,-0.353120,1.025501,1.081729,-0.351129,1.164824,1.052531,-0.325975,0.882759,1.066315
164,1.640000,-0.353156,1.025488,1.081655,-0.351301,1.164807,1.052467,-0.325624,0.882582,1.066107
165,1.650000,-0.353259,1.025460,1.081641,-0.351349,1.164803,1.052418,-0.326084,0.882726,1.066151
166,1.660000,-0.353187,1.025425,1.081485,-0.351449,1.164767,1.052328,-0.326137,0.882705,1.066110
167,1.670000,-0.353215,1.025394,1.081429,-0.351470,1.164765,1.052284,-0.326178,0.882693,1.066044
168,1.680000,-0.353252,1.025373,1.081364,-0.351568,1.164718,1.052258,-0.326237,0.882649,1.066015
169,1.690000,-0.353276,1.025357,1.081335,-0.351504,1.164658,1.052238,-0.326228,0.882663,1.065951
170,1.700000,-0.353329,1.025336,1.081316,-0.352601,1.164686,1.052203,-0.326253,0.882653,1.065917
171,1.710000,-0.353526,1.025319,1.081375,-0.352647,1.164677,1.052207,-0.326276,0.882654,1.065886
172,1.720000,-0.353766,1.024740,1.081905,-0.352768,1.164656,1.052192,-0.326284,0.882618,1.065833
173,1.730000,-0.354703,1.025427,1.081753,-0.352838,1.164655,1.052170,-0.325874,0.882454,1.065682
174,1.740000,-0.354745,1.025427,1.081751,-0.352877,1.164644,1.052152,-0.326353,0.882626,1.065833
175,1.750000,-0.354821,1.025431,1.081762,-0.352961,1.164636,1.052151,-0.326334,0.882511,1.065870
176,1.760000,-0.354897,1.025406,1.081736,-0.353045,1.164631,1.052143,-0.327458,0.882744,1.065834
177,1.770000,-0.354964,1.025432,1.081748,-0.353122,1.164633,1.052158,-0.327510,0.882728,1.065887
178,1.780000,-0.355019,1.025410,1.081744,-0.353203,1.164623,1.052145,-0.327682,0.882727,1.065930
179,1.790000,-0.355104,1.025415,1.081762,-0.353291,1.164625,1.052168,-0.327787,0.882765,1.065921
180,1.800000,-0.355214,1.025404,1.081771,-0.353387,1.164614,1.052187,-0.327855,0.882726,1.065951
181,1.810000,-0.355292,1.025394,1.081780,-0.353444,1.164596,1.052208,-0.327906,0.882731,1.065981
182,1.820000,-0.355355,1.025381,1.081797,-0.353521,1.164570,1.052228,-0.328012,0.882708,1.065997
183,1.830000,-0.355448,1.025383,1.081799,-0.353621,1.164556,1.052230,-0.328051,0.882686,1.066014
184,1.840000,-0.355497,1.025357,1.081823,-0.353700,1.164516,1.052257,-0.328110,0.882670,1.066030
185,1.850000,-0.355523,1.025332,1.081825,-0.353703,1.164496,1.052272,-0.328140,0.882642,1.066029
186,1.860000,-0.354646,1.025120,1.081546,-0.353726,1.164462,1.052286,-0.328171,0.882618,1.066054
187,1.870000,-0.354354,1.025146,1.081389,-0.353734,1.164434,1.052290,-0.328188,0.882577,1.066070
188,1.880000,-0.354442,1.025107,1.081452,-0.352649,1.164352,1.052319,-0.328233,0.882551,1.066099
189,1.890000,-0.354322,1.025093,1.081428,-0.352905,1.164366,1.052290,-0.328237,0.882517,1.066102
190,1.900000,-0.354331,1.025058,1.081443,-0.352937,1.164350,1.052299,-0.328288,0.882498,1.066127
